Segment,Sex,last_buy_shoes,run_frequency,where_run_1,where_run_2,where_run_3,where_run_4,running_experience,why_run_1,why_run_2,why_run_3,why_run_4,why_run_5,why_run_6,why_run_7,why_run_8,why_run_9,why_run_10,why_run_11,why_run_12,why_run_13,why_run_14,why_run_15,interest_buy_shoes_1,interest_buy_shoes_2,interest_buy_shoes_3,interest_buy_shoes_4,interest_buy_shoes_5,interest_buy_shoes_6,three_words_1,three_words_2,three_words_3,recent_spending,online_offline,online_search_1,online_search_2,online_search_3,online_search_4,online_search_5,online_search_6,where_usually,where_bought, most_important_choosing_1, most_important_choosing_2, most_important_choosing_3, most_important_choosing_4, most_important_choosing_5, most_important_choosing_6, most_important_choosing_7, most_important_choosing_8, most_important_choosing_9, most_important_choosing_10, most_important_choosing_11,confidence_right_shoes,more_confident_if_1,more_confident_if_2,more_confident_if_3,more_confident_if_4,more_confident_if_5,more_confident_if_6,more_confident_if_7,more_confident_if_8,more_confident_if_9,most_frustrating_online_1,most_frustrating_online_2,most_frustrating_online_3,most_frustrating_online_4,most_frustrating_online_5,most_frustrating_online_6,most_frustrating_online_7,most_frustrating_online_8,most_frustrating_online_9,most_frustrating_online_10,most_frustrating_online_11,most_frustrating_offline_1,most_frustrating_offline_2,most_frustrating_offline_3,most_frustrating_offline_4,most_frustrating_offline_5,most_frustrating_offline_6,most_frustrating_offline_7,most_frustrating_offline_8,most_frustrating_offline_9,most_frustrating_offline_10,most_frustrating_offline_11,most_frustrating_offline_12,most_frustrating_offline_13,need_expert_advice,age,occupation,parent
Mature Family,Male,4 to 6 months,3 to 4 times a week,,Road,,,Beginner,It helps me keep my mind and body in shape.,,,,,,,,,,,,,,I like to improve myself and learn new skills.,,,,I want to race.,,,Comfort,resistance,lightness,Between 50 and 100 €,At the store,,,,,no research,,"Multibrand store, eg. Go Sport and Decathlon","Multibrand store, eg. Go Sport and Decathlon",,,,,Lightness,,,Price,Fit and comfort,,,Agree,,,,,,,,,I knew they were best suited to help me achieve my goals,,,,,,,,,,no frustration,,,,,,,,,,,,,no frustration,,Strongly Agree,37-45 years,Employee,Yes
Young Professional,Male,4 to 6 months,1 to 2 times per week,,Road,Trail,,Intermediate,It helps me keep my mind and body in shape.,This helps me to avoid getting sick and staying healthy.,,,,,,This helps me to improve my physical appearance.,,,,,,,,,,I need to replace old shoes.,,,,Comfort,relaunch,,Between 50 and 100 €,At the store,,Visit store,,,,,"Multibrand store, eg. Go Sport and Decathlon","Multibrand store, eg. Go Sport and Decathlon",,,,,,,Bounce and cushioning,Price,Fit and comfort,,,Strongly Agree,,I knew they were good value for money,,,It was clear that they corresponded best to my needs,,,,I knew they were best suited to help me achieve my goals,,,,,,,Product images will not have the advantages,,Limited product selection,,I don't understand the question or the different answers associated with it,,,,,,,,,,,,,As before,Agree,23-30 years,Employee,No
Mature Family,Female,0 to 3 months,1 to 2 times per month,Sports Hall,,,,Intermediate,It helps me keep my mind and body in shape.,This helps me to avoid getting sick and staying healthy.,,,"This helps me to focus on my diet, my nutrition and my hydration.",This helps me feel confident (e) and stronger (e).,,This helps me to improve my physical appearance.,,,,,,,I like to improve myself and learn new skills.,"I want to improve my performance (eg. Speed, distance, endurance).",,I need to replace old shoes.,,,,Comfort,quality,cushioning,Between 50 and 100 €,At the store,,Visit store,,,,,"Store brand, eg. Nike, Adidas","Multibrand store, eg. Go Sport and Decathlon",Color / Design,,,,Lightness,,Bounce and cushioning,,,,,Strongly Agree,,I knew they were good value for money,,I had a positive shopping experience this brand in the past,,,,,,,,,,,,,,,no frustration,,,,,,,,,,,,,no frustration,,Strongly Disagree,37-45 years,Looking for a job,Yes
Mature Family,Male,4 to 6 months,1 to 2 times per week,Sports Hall,Road,Trail,Track,Intermediate,It helps me keep my mind and body in shape.,This helps me to avoid getting sick and staying healthy.,,,,,,This helps me to improve my physical appearance.,This helps me to spend time with my kids or show them an example.,,I love discovering new environments.,This allows me to spend time with friends.,,,I like to improve myself and learn new skills.,,,I need to replace old shoes.,,,,Lightness,cushioning,slippers,Between 100 and 150 €,Online,,,,research online and in-store visit,,Discussion with friends who had tried other models,"Multibrand store, eg. Go Sport and Decathlon","Multibrand store, eg. Go Sport and Decathlon",,,,Shock absorption,,,,Price,Fit and comfort,,,Strongly Agree,,,I knew other people like me had bought them,,It was clear that they corresponded best to my needs,,,,,,,,,,,,,,,Not being able to try them on,,,,,,,,,,,,,Nothing to report,Agree,37-45 years,Employee,Yes
Mature Professional,Female,0 to 3 months,5 times a week or more,,Road,Trail,,Advanced,It helps me keep my mind and body in shape.,,,,"This helps me to focus on my diet, my nutrition and my hydration.",This helps me feel confident (e) and stronger (e).,,This helps me to improve my physical appearance.,,,I love discovering new environments.,This allows me to spend time with friends.,,,I like to improve myself and learn new skills.,"I want to improve my performance (eg. Speed, distance, endurance).",,I need to replace old shoes.,,,,Dynamic,light,comfortable,Between 100 and 150 €,Online,Searches Online,,Advice from friends or family members,,,,"Store brand, eg. Nike, Adidas","Store brand, eg. Nike",,,,,Lightness,,Bounce and cushioning,,,Adaptation to a given surface (eg. Track rather than road),,Agree,,,I knew other people like me had bought them,,It was clear that they corresponded best to my needs,,,,I knew they were best suited to help me achieve my goals,Differentiate between the different models of running shoes,,,,Identify running shoes compared with running shoes,,,,Limited product selection,,,,,Finding a suitable product for my personal needs,,,Presentation of unclear shoes,,No system / tool to choose the right pair of shoes,,Limited product selection,,,,Strongly Agree,31-36 years,Employee,No
Mature Family,Female,More than 12 months,1 to 2 times per week,,,Trail,,Intermediate,It helps me keep my mind and body in shape.,This helps me to avoid getting sick and staying healthy.,,,,This helps me feel confident (e) and stronger (e).,This helps me to maintain a relationship with a loved one.,This helps me to improve my physical appearance.,This helps me to spend time with my kids or show them an example.,,,This allows me to spend time with friends.,,,I like to improve myself and learn new skills.,,I plan to run more often.,I need to replace old shoes.,I want to race.,,,Comfortable,nice,looking,Between 50 and 100 €,At the store,,,,research online and in-store visit,,,"Multibrand store, eg. Go Sport and Decathlon","Multibrand store, eg. Go Sport and Decathlon",Color / Design,,,Shock absorption,,,Bounce and cushioning,,,,,Agree,,I knew they were good value for money,,I had a positive shopping experience this brand in the past,It was clear that they corresponded best to my needs,,,,,Differentiate between the different models of running shoes,,,,Identify running shoes compared with running shoes,Differences in language different websites in terms of product description,,Too many options to choose from,,,,Differentiate between the different models of running shoes,,,,,,Not knowing exactly where to find the radius of running shoes,,Identify running shoes compared with running shoes,,,,,Disagree,46-55 years,Employee,Yes
Young Professional,Female,4 to 6 months,3 to 4 times a week,,Road,Trail,Track,Intermediate,It helps me keep my mind and body in shape.,This helps me to avoid getting sick and staying healthy.,,,"This helps me to focus on my diet, my nutrition and my hydration.",This helps me feel confident (e) and stronger (e).,,,,,I love discovering new environments.,,,,,,,,,,Preparation for a competition.,Cushioning,performances,resistance,Between 150 and 200 €,At the store,,Visit store,,,,,"Multibrand store, eg. Go Sport and Decathlon","Multibrand store, eg. Go Sport and Decathlon",,Protection against injuries,,,Lightness,,Bounce and cushioning,,,,,Agree,,,,I had a positive shopping experience this brand in the past,It was clear that they corresponded best to my needs,,I knew they were the most comfortable,,I knew they were best suited to help me achieve my goals,Differentiate between the different models of running shoes,,Finding a suitable product for my personal needs,,,,,Too many options to choose from,Limited product selection,no frustration,,,,,,,,,,,,Too many options to choose from,no frustration,,Agree,16-22 years,Looking for a job,No
Mature Family,Male,7 to 12 months,1 to 2 times per month,,Road,,,Beginner,,This helps me to avoid getting sick and staying healthy.,,,,,,This helps me to improve my physical appearance.,,,,,,,,,I plan to run more often.,,,,,Comfortable,elegant,affordable,Between 50 and 100 €,At the store,,,,,no research,,"Multibrand store, eg. Go Sport and Decathlon","Multibrand store, eg. Go Sport and Decathlon",Color / Design,,,,Lightness,,,,Fit and comfort,,,Agree,,I knew they were good value for money,,,It was clear that they corresponded best to my needs,,,,,,,,,,,,,,,It not being possible to try them on,,,,,Staff poor knowledge about products,,,,,Limited product selection,,,,Agree,46-55 years,Employee,Yes
Full Time Student,Female,4 to 6 months,1 to 2 times per month,,Road,,,Intermediate,It helps me keep my mind and body in shape.,,,,,,,,,,,,,,,,,I need to replace old shoes.,,,,Light,comfortable,adapted,Between 100 and 150 €,At the store,,,,,no research,,"Multibrand store, eg. Go Sport and Decathlon","Multibrand store, eg. Go Sport and Decathlon",,,,,Lightness,Maintenance / anti-pronation,,Price,,,,Agree,,,,I had a positive shopping experience this brand in the past,,,,,,,,Finding a suitable product for my personal needs,,Identify running shoes compared with running shoes,,,,,,,,,,,,,,,,,,no frustration,,Strongly Agree,16-22 years,Student,No
Mature Family,Female,0 to 3 months,5 times a week or more,,Road,,Track,Advanced,It helps me keep my mind and body in shape.,This helps me to avoid getting sick and staying healthy.,,,"This helps me to focus on my diet, my nutrition and my hydration.",This helps me feel confident (e) and stronger (e).,,This helps me to improve my physical appearance.,,,,,,,I like to improve myself and learn new skills.,,,I need to replace old shoes.,,,,Comfort,cushioning,stability,Between 100 and 150 €,Online,,,,,,Brand,"Multibrand store, eg. Go Sport and Decathlon","Store brand, eg. Nike",,,,Shock absorption,,Maintenance / anti-pronation,Bounce and cushioning,,,,,Strongly Agree,,I knew they were good value for money,,I had a positive shopping experience this brand in the past,It was clear that they corresponded best to my needs,,I knew they were the most comfortable,,I knew they were best suited to help me achieve my goals,,Differentiate between different brands of running shoes,,,,Differences in language different websites in terms of product description,,,,,,,,,,Staff poor knowledge about products,Presentation of unclear shoes,,No system / tool to choose the right pair of shoes,,Limited product selection,,,,Strongly Agree,46-55 years,Employee,Yes
Empty Nester,Female,7 to 12 months,1 to 2 times per week,,,Trail,,Intermediate,It helps me keep my mind and body in shape.,This helps me to avoid getting sick and staying healthy.,,,,,,,,,,,,,,,,I need to replace old shoes.,,,,Comfort,bounce,resistance,Between 50 and 100 €,At the store,Searches Online,,,,,,"Multibrand store, eg. Go Sport and Decathlon","Multibrand store, eg. Go Sport and Decathlon",,,,Shock absorption,,,,Price,Fit and comfort,,,Neither agree nor disagree,I saw a respected professional adopt the,,I knew other people like me had bought them,,,,,,I knew they were best suited to help me achieve my goals,,Differentiate between different brands of running shoes,Finding a suitable product for my personal needs,,,,,,,,,,,,,,Presentation of unclear shoes,Not knowing exactly where to find the radius of running shoes,,Identify running shoes compared with running shoes,,,,,Strongly Agree,55+,Employee,Yes
Mature Professional,Female,0 to 3 months,1 to 2 times per week,Sports Hall,,,,Intermediate,It helps me keep my mind and body in shape.,,,This helps me to improve my sex life.,,This helps me feel confident (e) and stronger (e).,,This helps me to improve my physical appearance.,,"I like to collect new equipment, clothes, shoes, etc.",,,,,,,,,,"I set myself a goal of health, eg. losing weight.",Aponeurosis,Lightness,and,cushioning,Between 50 and 100 €,At the store,,Visit store,,,,What I am used to,no preference,"Multibrand store, eg. Go Sport and Decathlon",,,,Shock absorption,Lightness,,,,Fit and comfort,,,Agree,,I knew they were good value for money,,,,,I knew they were the most comfortable,,,,,,,,,,,,,Not being able to try them on,,,,,Staff poor knowledge about products,,,,,Limited product selection,,,,Agree,46-55 years,Employee,No
Mature Family,Female,0 to 3 months,3 to 4 times a week,,Road,Trail,,Intermediate,,This helps me to avoid getting sick and staying healthy.,,,"This helps me to focus on my diet, my nutrition and my hydration.",This helps me feel confident (e) and stronger (e).,,This helps me to improve my physical appearance.,,,,,It's a way for me to contribute to a cause / charity which is of importance to me.,,I like to improve myself and learn new skills.,,,I need to replace old shoes.,I want to race.,,,Comfort,cushioning,support,Between 100 and 150 €,At the store,,Visit store,,,,,"Multibrand store, eg. Go Sport and Decathlon","Multibrand store, eg. Go Sport and Decathlon",,Protection against injuries,,Shock absorption,,,Bounce and cushioning,,,,,Agree,,,,I had a positive shopping experience this brand in the past,It was clear that they corresponded best to my needs,,,,,,,Finding a suitable product for my personal needs,,,,,,,,,,,,,Staff poor knowledge about products,Presentation of unclear shoes,,,,Limited product selection,,,,Strongly Agree,46-55 years,Woman / Husband,Yes
Mature Student,Male,0 to 3 months,5 times a week or more,Sports Hall,Road,,Track,Intermediate,It helps me keep my mind and body in shape.,This helps me to avoid getting sick and staying healthy.,,,,,,This helps me to improve my physical appearance.,,,I love discovering new environments.,This allows me to spend time with friends.,,,,,,I need to replace old shoes.,,,,Aeration,flexible,resistant,Between 100 and 150 €,At the store,,Visit store,,,,,"Multibrand store, eg. Go Sport and Decathlon","Multibrand store, eg. Go Sport and Decathlon",,,,Shock absorption,,,,,Fit and comfort,Adaptation to a given surface (eg. Track rather than road),,Strongly Agree,,,,,,,,,I knew they were best suited to help me achieve my goals,,,,Making the difference between products with different prices,,,,,,,,,,,,,,,,,,,no frustration,,Neither agree nor disagree,23-30 years,Student,No
